Full_Address,lat,long,min_dist_mrt,min_dist_mall,cbd_dist
Block 238 SERANGOON AVE 2,1.3535216,103.86904659999999,505.6057057951405,469.2412626533605,8044.141622645516
Block 242 SERANGOON AVE 3,1.3526576000000001,103.8696581,537.8315411864611,356.6623077663188,7968.739942970462
Block 243 SERANGOON AVE 2,1.3529374,103.8687748,452.48188390482926,455.65739511629926,7974.105730783903
Block 415 SERANGOON CTRL,1.3499742000000001,103.8746638,115.16413938020975,281.85487306053386,7848.865998894331
Block 422 SERANGOON CTRL,1.3488685,103.8759323,278.2667161589782,459.86534013394345,7782.213425140985
Block 148 SERANGOON NTH AVE 1,1.368576,103.8733041,1611.8687288237159,980.9181699368726,9774.28950965116
Block 520 SERANGOON NTH AVE 4,1.3721647,103.8734868,1853.8517806032346,763.8866898531846,10163.860217231293
Block 204 TAMPINES ST 21,1.3522152,103.9516301,622.6746753589886,771.0418218269789,13536.975352778383
Block 413 TAMPINES ST 41,1.3594618,103.9455564,605.5593210595056,563.4958351911155,13472.891849451704
Block 822 TAMPINES ST 81,1.3483079,103.93447490000001,516.4600457427086,822.1598335514324,11740.218872283056
Block 225 TAMPINES ST 23,1.3551473,103.95405509999999,203.36779422116058,1019.622652849342,13943.351940056407
Block 899A TAMPINES ST 81,1.3462542,103.93520009999999,346.7875049799443,927.4816904457201,11666.415870006877
Block 276 TAMPINES ST 22,1.3474818000000002,103.9506103,559.2810041459581,592.5253828294872,13152.592839421462
Block 866 TAMPINES ST 83,1.3543100000000001,103.9345656,974.9759212543636,655.4286153435855,12167.391470704404
Block 709 TAMPINES ST 71,1.3580261999999999,103.9375568,752.9726555080144,643.1431086130889,12687.583636330448
Block 854 TAMPINES ST 82,1.3529801000000001,103.9366504,760.7852951251263,404.67769562194735,12251.608544885608
Block 392 TAMPINES AVE 7,1.3551282,103.9573188,243.64722154477397,1381.8439523363413,14241.578186234448
Block 865 TAMPINES ST 83,1.3538542,103.934271,1009.8828941855571,677.6572298930446,12109.772653973501
Block 414 TAMPINES ST 41,1.3598053999999997,103.946259,674.5824122001599,615.2996732942854,13557.627181266145
Block 492D TAMPINES ST 45,1.3638788,103.9538965,855.0656163095804,1055.326849611685,14503.449129878958
Block 461 TAMPINES ST 44,1.3588793,103.9543271,311.3179700085115,1157.5995962104869,14207.907460443246
Block 387 TAMPINES ST 32,1.3552841999999998,103.95879190000001,386.5925730879304,1530.1457475336983,14387.26906062126
Block 223 SIMEI ST 4,1.3422443000000002,103.9576814,425.5351343822217,518.9813791731974,13530.786873892439
Block 334 TAMPINES ST 32,1.3525438,103.96112640000001,754.6849414684257,1410.9791142592067,14440.397219536448
Block 428 TAMPINES ST 41,1.3590572,103.94897850000001,783.7993712647044,684.2899007089555,13744.066574437364
Block 942 TAMPINES AVE 5,1.3498091,103.94063879999999,537.9589800532709,343.9384216527048,12386.602536122375
Block 858 TAMPINES AVE 5,1.3542903999999998,103.9379194,601.8985032656255,304.9905701290387,12452.630794000892
Block 235 LOR 8 TOA PAYOH,1.338902,103.856847,1100.1558683044648,1179.384233633666,6212.105316746851
Block 173 LOR 1 TOA PAYOH,1.3300248,103.8425052,608.5987207165999,487.1521159321656,5291.07906285647
Block 44 LOR 5 TOA PAYOH,1.336495,103.8539853,857.7763346877833,764.7220572104379,5922.7463472825
Block 6 LOR 7 TOA PAYOH,1.3385844,103.8570908,1133.1313361465789,1180.0595029270503,6179.9320887600525
Block 153 LOR 2 TOA PAYOH,1.3335964,103.84567390000001,236.2449195425072,341.7435173124099,5629.617506011092
Block 310 WOODLANDS ST 31,1.4300996000000001,103.7759424,339.0437188229944,910.1240475525249,18300.25934347564
Block 5 MARSILING DR,1.4394593999999998,103.77500079999999,766.6689084384084,282.75466605514566,19271.929503308245
Block 831 WOODLANDS ST 83,1.4395467,103.79133459999998,617.3543986085364,442.9187583744919,18551.97226908254
Block 205 MARSILING DR,1.4449435,103.77331690000001,1370.3440947795887,860.6909955093081,19899.110138999655
Block 626 WOODLANDS AVE 6,1.4336921,103.8004802,1607.9860158972917,696.5523493245635,17596.42347858007
Block 775 WOODLANDS CRES,1.4485953,103.80011800000001,1994.2210630388172,407.00021189543133,19176.1561794296
Block 104 WOODLANDS ST 13,1.4364506000000001,103.78155579999999,542.9661423153279,498.6567408495004,18658.776687465564
Block 527 WOODLANDS DR 14,1.4318351,103.7921495,855.9665118092762,736.276774966794,17725.114654140267
Block 729 WOODLANDS CIRCLE,1.4425116000000002,103.7985786,1486.1310598792386,341.58517554476583,18588.253765618996
Block 689C WOODLANDS DR 75,1.4448729999999999,103.80844909999999,1375.2948699369683,957.7008079357275,18523.468953151147
Block 731 WOODLANDS CIRCLE,1.4428848,103.79758249999999,1404.5284248960825,299.9799035206702,18662.628554432195
Block 605 WOODLANDS DR 42,1.4373268999999997,103.79719770000001,1201.5495740126537,257.36618045388457,18095.724434874384
Block 639 WOODLANDS RING RD,1.4376386,103.8031968,1869.9605603701848,323.3417255640918,17917.559346481674
Block 895B WOODLANDS DR 50,1.4355798,103.7918779,628.4228795426444,425.2202317636602,18121.230233761442
Block 898B WOODLANDS DR 50,1.4349361999999999,103.79509240000002,992.8304349824608,324.6342095130023,17927.054082730858
